Question,Answer
"Что делать, если неисправен прибор учёта?","При обнаружении неисправности прибора учёта необходимо незамедлительно сообщить об этом в АО «Мосэнергосбыт».Неисправным считается прибор, у которого:диск не вращается или вращается неравномерно (рывками),индикатор или дисплей не работают, имеются механические сквозные повреждения корпуса, просверленные отверстия, смотровое окно разбито или отклеено от корпуса, нарушена герметичность. Прибор учета считается вышедшим из строя в случаях:неотображение результатов измерений;нарушение пломб;механические повреждения;превышение допустимой погрешности;истечение сроков поверки (определяются с учетом особенностей, перечисленных в п. 136 Основных положений);наличие признаков несанкционированного вмешательства.Оформить бесплатную заявку на замену прибора учета можно:жителям многоквартирных домов по телефону АО «Мосэнергосбыт» +7 (499) 550-9-550 (ежедневно с 8:30 до 20:30) или в Едином личной кабинете;жителям частного сектора – по телефону сетевой компании ПАО «Россети Московский регион» 8-800-220-0-220."
За чей счёт производится замена прибора учёта?,"В соответствии с требованиями Федерального закона от 27.12.2018 № 522-ФЗ «О внесении изменений в отдельные законодательные акты Российской Федерации в связи с развитием систем учёта электрической энергии (мощности) в Российской Федерации» и постановления Правительстваот 29.06.2020 № 950 «О внесении изменений в некоторые акты Правительства Российской Федерации по вопросам совершенствования организации учёта электрической энергии» с 1 июля 2020 года обязанность по замене неисправных приборов учёта электроэнергии или счётчиков электроэнергии с истекшим межповерочным интервалом, в жилых помещениях многоквартирных жилых домов возложена на гарантирующего поставщика электроэнергии. В Москве и Московской области гарантирующим поставщиком электроэнергии является АО «Мосэнергосбыт». В индивидуальных жилых домах эта обязанность возложена на сетевые организации ПАО «Россети Московский регион». Если по состоянию на 01.04.2020 или ранее у потребителя отсутствовал ПУ/истек срок его эксплуатации/вышел из строя, то установка (замена) ПУ осуществляется до 31.12.2023. Если по состоянию на 01.04.2020 или ранее у потребителя истек МПИ ПУ, то установка (замена) со стороны ГП осуществляется до 31.12.2021. В иных случаях – установка (замена) должна быть осуществлена в течение 6 месяцев.График замены приборов учета в многоквартирных жилых домах Москвы и Московской области можно посмотреть на сайте АО «Мосэнергосбыт»Оформить бесплатную заявку на замену прибора учета можно:жителям многоквартирных домов по телефону АО «Мосэнергосбыт» +7 (499) 550-9-550 (ежедневно с 8:30 до 20:30) или в Едином личной кабинете;жителям частного сектора – по телефону сетевой компании ПАО «Россети Московский регион» 8-800-220-0-220.В остальных случаях замена/установка прибора учета осуществляется на платной основе за счет собственных средств потребителя. Установленный прибор учёта должен быть опломбирован энергоснабжающей организацией (Правила технической эксплуатации электроустановок потребителей, утвержденных приказом Минэнерго России от 13.01.2003 № 6).Ознакомиться со стоимостью услуг можно на сайте АО «Мосэнергосбыт»."
"За чей счет производится замена, если прибор учёта входит в систему АИИСКУЭ?",Если прибор учёта входит в систему АИИСКУЭ (Автоматизированная информационно измерительная система коммерческого учета электроэнергии) и находится на балансе АО Мосэнергосбыт» замена осуществляется на безвозмездной основе.Оформить заявку на замену прибора учёта Вы можете:Через оператора Контактного центра по телефону +7 (499) 550-9-550 (ежедневно с 08:30 до 20:30);В любом отделении АО «Мосэнергосбыт».
"За чей счет производится замена, если прибор учёта был установлен на платной основе сотрудником АО «Мосэнергосбыт»?",В случаевыхода прибора учета из строя или истечения срока межповерочного интервала замена прибора учета осуществляется гарантирующим поставщиком. Оформить заявку на замену прибора учёта Вы можете: Через оператора Контактного центра по телефону +7 (499) 550-9-550 (ежедневно с 08:30 до 20:30);
Когда заменят неисправный электросчётчик?,"Согласно изменениям в Постановление Правительства №354 замена прибора учёта гарантирующим поставщиком и сетевой организацией должна быть выполнена в следующие сроки:Если по состоянию на 01.04.2020 или ранее у потребителя отсутствовал ПУ/истек срок его эксплуатации/вышел из строя, то установка (замена) ПУ осуществляется до 31.12.2023.В иных случаях – установка (замена) должна быть осуществлена в течение 6 месяцев.Если по состоянию на 01.04.2020 или ранее у потребителя истек МПИ ПУ, то установка (замена) со стороны ГП осуществляется до 31.12.2021.График замены приборов учета в многоквартирных жилых домах Москвы и Московской области можно посмотреть на сайте АО «Мосэнергосбыт».Оформить бесплатную заявку на замену прибора учета можно:жителям многоквартирных домов по телефону АО «Мосэнергосбыт» +7 (499) 550-9-550 (ежедневно с 8:30 до 20:30) или в Едином личной кабинете;жителям частного сектора – по телефону сетевой компании ПАО «Россети Московский регион» 8-800-220-0-220."
В какой срок выполняется заявка?,"В соответствии с требованиями Федерального закона от 27.12.2018 № 522-ФЗ «О внесении изменений в отдельные законодательные акты Российской Федерации в связи с развитием систем учёта электрической энергии (мощности) в Российской Федерации» и постановления Правительстваот 29.06.2020 № 950 «О внесении изменений в некоторые акты Правительства Российской Федерации по вопросам совершенствования организации учёта электрической энергии» с 1 июля 2020 года обязанность по замене неисправных приборов учёта электроэнергии или счётчиков электроэнергии с истекшим межповерочным интервалом, в жилых помещениях многоквартирных жилых домов возложена на гарантирующего поставщика электроэнергии. В Москве и Московской области гарантирующим поставщиком электроэнергии является АО «Мосэнергосбыт». В индивидуальных жилых домах эта обязанность возложена на сетевые организации ПАО «Россети Московский регион». Замена приборов учёта будет осуществляться в следующие сроки:Если по состоянию на 01.04.2020 или ранее у потребителя отсутствовал ПУ/истёк срок его эксплуатации/вышел из строя, то установка (замена) ПУ осуществляется до 31.12.2023.Если по состоянию на 01.04.2020 или ранее у потребителя истёк МПИ ПУ, то установка (замена) со стороны ГП осуществляется до 31.12.2021.В иных случаях – установка (замена) должна быть осуществлена в течение 6 месяцев.График замены приборов учёта в многоквартирных жилых домах Москвы и Московской области можно посмотреть на сайте АО «Мосэнергосбыт».В остальных случаях замена/установка прибора учёта осуществляется на платной основе. Заявка выполняется в срок, не превышающий 10 рабочих дней с момента поступления оплаты на расчётный счёт АО «Мосэнергосбыт». После поступления оплаты с клиентом связывается мастер (сотрудник АО «Мосэнергосбыт») для уточнения времени проведения работ."
Как будут осуществляться начисления с даты поломки (выхода за МПИ) до даты замены электросчётчика?,Начисления за электроэнергию в случае выхода прибора учёта из строя или за межповерочный интервал в соответствии с внесенными изменениями в законодательство будут осуществляться исходя из среднемесячного объема потребления в предыдущие периоды (на основании статистической информации по потреблению в предыдущие месяцы) или исходя из норматива потребления в случае отсутствия возможности осуществить расчет среднемесячного объёма потребления электроэнергии.
Что такое МПИ?,"Как и любой прибор, электросчётчик имеет свой ресурс бесперебойной работы. Он называется межповерочный интервал (или МПИ) – это срок, в течение которого завод-изготовитель гарантирует, что показания прибора будут точны и не будут превышать предел допустимой погрешности приборов учёта. По истечении МПИ прибор начинает неверно учитывать расход электроэнергии. При истечении сроков МПИ необходима его замена или поверка."
Как узнать срок МПИ?,"Межповерочный интервал указан в паспорте на прибор учёта. Сроки МПИ для приборов учёта разные и варьируются  от 6 до 16 лет, зависят от модели и типа прибора учета. Ознакомиться с информацией о сроке окончания МПИ, установленного по Вашему адресу, можно в Личном кабинете клиента в разделе «Реквизиты ЛС»."
"Закончился срок МПИ, возможно ли осуществить поверку прибора учета?","В связи с тем, что по истечении срока МПИ точность показаний гарантироваться не может, поскольку со временем детали электросчётчика изнашиваются, расход электроэнергии по показаниям может отличаться от фактического как в большую, так и в меньшую сторону.Можно осуществить поверку прибора учёта, которая проводится в специализированной лаборатории. Поверка является длительным и сложным технологическим процессом, а по результатам поверки может оказаться, что прибор учёта все равно нужно менять.Внимание! Приборы учёта, у которых истек межповерочный интервал и имеют класс точности ниже 2,0 – не могут использоваться при расчетах (п.139 основных положений функционирования розничных рынков электрической энергии утв. Постановлением Правительства РФ от 4 мая 2012 г. № 442).При желании осуществить поверку самостоятельно (силами специализированной лаборатории) необходимо заранее сообщить в по телефону Контактного центра + 7(499) 550-9-550 или в обслуживающее отделение АО «Мосэнергосбыт».В связи с изменениями в Постановлении Правительства №354 с 1 июля 2020 года обязанность по замене неисправных приборов учета электроэнергии или счетчиков электроэнергии с истекшим межповерочным интервалом, в жилых помещениях многоквартирных жилых домов возложена на гарантирующего поставщика электроэнергии. В Москве и Московской области гарантирующим поставщиком электроэнергии является АО «Мосэнергосбыт». В индивидуальных жилых домах эта обязанность возложена на сетевые организации ПАО «Россети Московский регион». "
Как оплатить услугу по установке/замене прибора учета?,"Оплатить услуги можно любым удобным способом:Банковской картой на сайте АО «Мосэнергосбыт» / «Способы оплаты дополнительных услуг»;Через платежные терминалы, установленные в любом отделении АО «Мосэнергосбыт»;В любом банке."
Возможно ли произвести оплату наличными мастеру?,"Оплата наличными денежными средствами предусмотрена только для жителей г. Москвы. В этом случае оплата будет производиться наличными мастеру перед выполнением услуги. Сотрудник предоставит чек контрольно - кассового аппарата, после чего приступит к выполнению услуги."
Какие документы предоставляются после оказания услуги?,"После оказания услуги мастер предоставляет паспорт прибора (если услуга с учетом стоимости электросчётчика) и договор (по требованию клиента). Ознакомиться с договором оказания услуг по замене прибора учёта электрической энергии можно на сайте АО «Мосэнергосбыт», а при необходимости его получения следует сообщить заранее, во время оформления услуги. Акт приёма электросчетчика в эксплуатацию направляется в электронном виде на электронную почту абонента или предоставляется на бумажном носителе в любом отделении АО «Мосэнергосбыт»."
Что такое гарантийное обслуживание прибора учета?,"Услуга заключается в предоставлении гарантийных обязательств, включающих в себя замену либо ремонт вышедшего из строя прибора учета электроэнергии, сроком на 2, 4 и 7 летпосле истечения гарантийного срока, установленного заводом-производителем (3 года).Итого гарантийный срок составит 5, 7 и 10 лет (в зависимости от выбранной услуги)."
Как оформить гарантийное обслуживание?,"Данная услуга доступна только при оформлении заявки на установку нового прибора учёта.Оформить «Гарантийное обслуживание прибора учета электроэнергии» можно любым удобным способом:Позвонив Контактный центр по телефону +7 (499) 550-33-77;В любом отделении АО «Мосэнергосбыт».Срок дополнительной гарантии начинается со дня, следующего за днем окончания гарантии завода-изготовителя."
Преимущества гарантийного обслуживания,"Приобретая гарантийное обслуживание, Вы получаете:Экономию денежных средств - гарантийное обслуживание прибора учёта электроэнергии на 2, 4 или 7 лет, которое позволит не волноваться о дополнительных затратах, так как специалисты АО «Мосэнергосбыт» в случае выхода прибора учёта  из строя бесплатно и в кратчайшие сроки произведут его замену;Замену прибора учёта электроэнергии по гарантии неограниченное количество раз в течение всего срока действия договора.Экономию времени на выяснение причин неисправности прибора учёта;Ознакомиться со стоимостью и договором на оказание данной услуги  можно на сайте АО «Мосэнергосбыт»."
Как оформить гарантийное обслуживание?,"Данная услуга доступна только при оформлении заявки на установку нового прибора учёта.Оформить «Гарантийное обслуживание прибора учета электроэнергии» можно любым удобным способом:Позвонив Контактный центр по телефону +7 (499) 550-33-77 (ежедневно с 8:30 до 20:30);В любом отделении АО «Мосэнергосбыт».Срок дополнительной гарантии начинается со дня, следующего за днем окончания гарантии завода-изготовителя."
Коммерческие услуги АО «Мосэнергосбыт»,"АО «Мосэнергосбыт» предлагает широкий спектр коммерческих услуг, с которым можно ознакомиться на сайте."
Как оформить коммерческую услугу?,"Для того чтобы оформить услугу, достаточно воспользоваться одним из способов:Оформить заявку на популярные услуги в Личном кабинете клиента;Позвонить в Контактный центр по телефону +7 (499) 550-33-77 (ежедневно с 8:30 до 20:30);В любом отделении АО «Мосэнергосбыт»."
Как оплатить услугу по установке/замене прибора учёта?,"Оплатить услуги можно любым удобным способом:Банковской картой на сайте АО «Мосэнергосбыт» - «Способы оплаты дополнительных услуг»;Через платежные терминалы, установленные в любом отделении АО «Мосэнергосбыт»;В любом банке;"
Какие документы предоставляются после оказания услуги?,"После оказания услуги мастер предоставляет паспорт прибора (если услуга с учетом стоимости электросчётчика) и договор (по требованию клиента). Ознакомиться с договором оказания услуг по замене прибора учёта электрической энергии можно на сайте АО «Мосэнергосбыт», а при необходимости его получения следует сообщить заранее, во время оформления услуги. Акт приёма электросчетчика в эксплуатацию направляется в электронном виде на электронную почту абонента или предоставляется на бумажном носителе в любом отделении АО «Мосэнергосбыт»."
Не передаются показания через Личный кабинет клиента?,"Функция по передаче показаний активна в период с 15-го по 26-е число каждого месяца. Показания невозможнопередать, если прибор учёта  подключен к автоматической системе учёта электроэнергии  или прибор учётанеисправен."
Как подключить дополнительный Лицевой счёт?,"Для подключения двух и более лицевых счётов к одной учётной записи необходимо использовать функцию «Добавить лицевой счёт» в левом боковом меню. В появившемся окне указать поставщика и ввести лицевой счёт, после чего нажать кнопку «Подключить». В открывшемся окне «Ответьте на контрольный вопрос» необходимо выбрать вопрос в поле «Контрольный вопрос», в поле «Ответ» указать верную информацию по вопросу, далее нажать кнопку «Подтвердить». Например, при контрольном вопросе «Введите сумму «Итого по счёту» или «Итого переплата», указанную в любой из квитанций за последние 6 месяцев, отделив копейки запятой.» необходимо в поле «Ответ» внести корректную информацию, после чего нажать на кнопку ""Подключить"".Если введенные данные были указаны верно, появится окно с уведомлением о том, что лицевой счёт успешно подключен"
Как отключить дополнительный Лицевой счёт?,"Для того чтобы отключить дополнительный Лицевой счет необходимо нажать на три точки, расположенные в левой части бокового меню рядом с номером лицевого счета, далее нажать «Удалить»."
Как можно подключить услугу «Автоплатёж»?,"Для подключения данной услуги необходимо на главной странице под информационным блоком «Автоплатеж» нажать кнопку «Подключить», ознакомиться с условиями предоставления данной услуги и заполнить заявление на Автоплатеж."
Как отключить «Автоматический платеж»?,Для отключения данной услуги необходимо на главной странице нажать на «Отключить»/«Аннулировать».
Как подписаться на электронную рассылку квитанций?," Для настройки получения электронной квитанции необходимо в разделе «Профиль» в блоке «Получение счёта по e-mail» указать интересующий способ получения квитанции по лицевому счёту. После подписки на электронную рассылку счётов, квитанции на бумажном носителе направляться не будут."
Где в Личном кабинете клиента можно посмотреть произведенные платежи?,"Посмотреть информацию о поступивших платежах можно в карточке лицевого счёта, в разделе «История», выбрав подраздел «Оплаты». В данном подразделе представлена информация по поступивших оплатах – дата, статус, сумма платежа. Для просмотра информации необходимо выбрать интересующий период."
Где в Личном кабинете клиента посмотреть историю показаний?," Показания можно посмотреть в Едином личном кабинете во вкладке «История» - «Показания». Если необходимо посмотреть информацию за более длительный срок, необходимо изменить период."
Как изменить личные данные в Личном кабинете клиента?," Для того чтобы изменить личные данные необходимо в правом верхнем углу выбрать вкладку «Профиль». Самостоятельно в Личном кабинете клиента можно изменить только ФИО пользователя, адрес электронный почты, мобильный номер телефона и пароль для входа в Личный кабинет клиента, подписаться/отписаться на получение платежного документа по электронной почте и на рекламно-информационную рассылкуВ личном кабинете клиента можно оформить заявку на смену собственника, изменение количества проживающих, количества комнат, площади с прикреплением необходимых документов во вкладке «Реквизиты ЛС»/Общая информация/ изменить, далее в открывшемся списке выбрать услугу нужную услугу. Подробная информация здесь."
Что такое статистика потребления?,В графике видна динамика изменения расхода электроэнергии за текущий год на основании фактического потребления.Для просмотра статистики потребления за предыдущий год необходимо изменить период и нажать «Показать».
Что такое текущий баланс?,"Текущий баланс счёта - это актуальный расчёт задолженности или переплаты за электроэнергию на текущий момент, сучётом поступивших платежей и переданных показаний прибора учёта после последнего выставленного счёта."
 Порядок проверки приборов учёта и оформления актов неучтенного потребления , Памятка
Как работать в Едином личном кабинете клиента (ЕЛК ЖКХ)?,"Для удобства работы с Единым ЛКК Вы можете использовать подробную пошаговую инструкцию по работе сервиса, перейдя по ссылке."
В каких браузерах необходимо осуществлять работу в Едином личном кабинете клиента (ЕЛК ЖКХ)?,"Для корректной работы в Едином личном кабинете клиента (ЕЛК ЖКХ) рекомендуется использовать один из перечисленных браузеров: Internet Explorer версии 11.0, Mozilla Firefox версии 58.0 и выше, Opera версии 51.0 и выше, Google Chrome версии 65.0 и выше, Apple Safari версии 11.0 и выше. Не гарантируется стабильная и правильная работа системы при использовании браузеров других версий. Для работы на мобильных устройствах и планшетах для скачивания доступно приложение «Мой Мосэнергосбыт» (для устройств с системой iOS и Android)."
Можно ли с мобильного устройства или планшета работать в Едином личном кабинете клиента (ЕЛК ЖКХ)?,Для работы на мобильных устройствах и планшетах для скачивания доступно приложение «Мой Мосэнергосбыт» (для устройств с системой iOS и Android).
Как зарегистрировать электронный адрес?,"Для регистрации электронного адреса ознакомьтесь со следующим файлом: Создание почтового ящика на ""Yandex"" или ""Mail.ru"". "
Отсутствие электроэнергии при наличии задолженности по Лицевому счету,При наличии задолженности по Лицевому счету не менее суммы двух месячных начислений за два последних периода АО «Мосэнергосбыт» имеет право приостановить подачу энергоснабжения.
Как восстановить подачу электроэнергии?,"Восстановление подачи электроэнергии осуществляется на платной основе и при полной оплате задолженности на момент отключения. Для восстановления  подачи электроэнергии необходимо:обратиться в обслуживающее отделение АО «Мосэнергосбыт» иливоспользоваться терминалом видеосвязи (Автоматизированная система «Видеоконсультант») с оператором Контактного центра, установленным в МФЦ. Часы работы: Пн-Пт с 08:30 до 20:00.Внимание! При обращении в отделение АО «Мосэнергосбыт» или через терминал видеосвязи (установленный в МФЦ) необходимо предоставить квитанцию об оплате задолженности."
Оповещения по аварийным и плановым отключениям,"Подписаться на бесплатные смс и/или e-mail уведомления по аварийным и плановым отключениям, ограничениям энергоснабжения можно здесь"
От чего зависит качество электрической энергии?,"Причинами ухудшения качества электроэнергии могут являться:  - короткие замыкания в распределительной сети;аварии в электрической сети;неравномерность распределения нагрузки у потребителя по отдельным фазам;срабатывание средств защиты и автоматики;электромагнитные и сетевые возмущения (переходные процессы), связанные с включением, отключением и работой мощных потребителей электроэнергии и др.износ электрооборудования."
Почему случаются перепады напряжения?,"Изменения характеристик напряжения, связаны с такими явлениями, как например, провалы и прерывания напряжения, перенапряжения и импульсные напряжения. Провалы напряжения обычно происходят из-за неисправностей в электрических сетях или в электроустановках потребителей, а также при подключении мощной нагрузки.Перенапряжения, как правило, вызываются переключениями и отключениями нагрузки. Импульсные напряжения вызываются в основном молниевыми разрядами или процессами коммутации в электрической сети или электроустановке потребителя."
Я живу в многоквартирном доме. Куда обращаться для выяснения причин некачественной поставки электрической энергии?,"Порядок действий потребителя при установлении факта предоставления коммунальных услуг ненадлежащего качества и (или) с перерывами, превышающими установленную продолжительность прописан в разделе Х Правил предоставления коммунальных услуг собственникам и пользователям помещений в многоквартирных домах и жилых домах, утвержденных Постановлением Правительства РФ от 6 мая 2011 г. N 354.Жителям многоквартирных домов:необходимо сообщить об этом в аварийно-диспетчерскую службу управляющей компании, эксплуатирующей внутридомовые инженерные системы жилого дома; управляющая компания обязана незамедлительно принять меры к выяснению причин. По результатам проверки составляется  Акт, в котором фиксируется факт предоставления коммунальных услуг ненадлежащего качества по электроснабжению. при необходимости к проверке привлекается представитель ресурсоснабжающей организации и потребитель."
Почему мигает свет?,"Одним из главных факторов мигания света могут быть перепады напряжения в электросети. К резким перепадам напряжения в сети приводит включение мощных электроприборов потребителями. Вместе, все это дает большую нагрузку на электросеть и как следствие происходят резкие колебания напряжения, а затем и колебания светового потока от источников освещения. Чтобы защитить технику и уменьшить моргание следует применять стабилизатор напряжения. Стабилизатор нормализует напряжение до 220 В с определенной погрешностью, тем самым защищает технику от перепада напряжения и в определенной степени уменьшает мигание света."
Как защитить бытовую технику?,"Для защиты электроприборов от перепадов напряжения рекомендуется устанавливать стабилизаторы напряжения, защитные устройства защитного отключения (УЗО), дифавтоматы. Стабилизатор напряжения  - защищает технику от перепадов напряжения в сети.УЗО - срабатывают при регистрации наличия токов утечки. Дифавтомат - обеспечивает защиту от поражения человека электрическим током  и защищает приборы в сети от перегрузок."
Кто возместит ущерб за вышедшую из строя бытовую технику по причине не качественной поставки электрической энергии?,"АО «Мосэнергосбыт»  является гарантирующим поставщиком, не имеет на балансе распределительных сетей и иных объектов, участвующих в передачи электроэнергии. В соответствии со ст. 1064 ГК  РФ вред, причиненный имуществу гражданина подлежит возмещению в полном объеме лицом, причинившим вред.Соответственно, возместить ущерб обязана та организация, в зоне ответственности  которой произошла аварийная ситуация.Для возмещения причиненного материального ущерба заявитель направляет лицу, причинившему вред следующий перечень документов:заявление в произвольной форме с указанием размера ущерба; копии документов, подтверждающих право собственности или иное имущественное право на поврежденное имущество. К таким документам относятся кассовые и товарные чеки, гарантийные обязательства, выданные при покупке имущества и иные правоустанавливающие документы. При утере вышеназванных документов необходимо предоставить другие доказательства, подтверждающие его право на поврежденное имущество. акт обследования поврежденного имущества, составленный организацией, уполномоченной изготовителем поврежденного имущества на выполнение функций по гарантийному и послегарантийному обслуживанию электробытового прибора (сервисного центра), с указанием причины повреждения и стоимости ремонта.  акт проверки факта некачественного предоставления коммунальной услуги. "
"Когда будет включена электроэнергия, отключенная за долги, если произведена оплата задолженности и за подключение?","Предоставление коммунальной услуги по электроснабжению возобновляется в течение 2 календарных дней со дня полного погашения задолженности и оплаты расходов исполнителя по введению ограничения, приостановлению и возобновлению предоставления коммунальной услуги."
"Что делать, если наш многоквартирный дом отключили от электроснабжения?","Порядок действий потребителя при установлении факта предоставления коммунальных услуг ненадлежащего качества и (или) с перерывами, превышающими установленную продолжительность прописан в разделе Х Правил предоставления коммунальных услуг собственникам и пользователям помещений в многоквартирных домах и жилых домах, утвержденных Постановлением Правительства РФ от 6 мая 2011 г. N 354 (далее – Правила).В соответствии с п. 9 приложения № 1 к Правилам установлена допустимая продолжительность перерыва электроснабжения: 2 часа - при наличии двух независимых взаимно резервирующих источников питания (2 категория надежности электроснабжения); 24 часа - при наличии 1 источника питания (3 категория надежности электроснабжения).Жителям многоквартирных домов:необходимо сообщить об этом в аварийно-диспетчерскую службу управляющей компании, эксплуатирующей внутридомовые инженерные системы жилого дома; сообщение о нарушении качества коммунальной услуги может быть сделано потребителем в письменной форме или устно (в том числе по телефону) и подлежит обязательной регистрации аварийно-диспетчерской службой управляющая компания обязана незамедлительно принять меры к выяснению причин.  в случае если сотруднику аварийно-диспетчерской службы исполнителя известны причины нарушения качества коммунальной услуги, он обязан немедленно сообщить об этом обратившемуся потребителю и сделать соответствующую отметку в журнале регистрации сообщений. "
Кто может включить свет в ночное время после погашения задолженности?,"Предоставление коммунальной услуги по электроснабжению возобновляется сотрудниками АО «Мосэнергосбыт» в рабочее время в течение 2 календарных дней со дня полного погашения задолженности и оплаты расходов исполнителя по введению ограничения, приостановлению и возобновлению предоставления коммунальной услуги."
Почему отключается электроэнергия от 2 до 20 секунд?,Перерывы во внешнем электроснабжении до 30 секунд имеют технологический характер вследствие работы автоматов включения резервного питания по причине повреждения линий электропередачи и (или) оборудования для обеспечения электрической энергией потребителей в соответствии с категорией надежности электроснабжения. 
Я живу в частном доме. Куда обращаться для выяснения причин некачественной поставки электрической энергии?,"Порядок действий потребителя при установлении факта предоставления коммунальных услуг ненадлежащего качества и (или) с перерывами, превышающими установленную продолжительность прописан в разделе Х Правил предоставления коммунальных услуг собственникам и пользователям помещений в многоквартирных домах и жилых домах, утвержденных Постановлением Правительства РФ от 6 мая 2011 г. N 354. Жителю частного сектора в первую очередь необходимо сделать заявку в сетевую организацию, к сетям которой технологически присоединен жилой дом. Или написать заявление в АО «Мосэнергосбыт» о проведении проверки качества поставляемой электрической энергии. Письменное обращение можно направить на почтовый адрес АО «Мосэнергосбыт»: 117312, Российская Федерация, г. Москва, ул. Вавилова, д. 9 или обратиться с заявлением непосредственно в обслуживающее Вас отделение АО «Мосэнергосбыт» или ООО «МосОблЕИРЦ».  Вы можете направить свое письменное обращение в электронном виде по одному из каналов обращений: info@mosenergosbyt.ru «Виртуальная приемная» на сайте МЭС. ЛКК В целях исполнения обязательств по договору энергоснабжения АО «Мосэнергосбыт» заключает в интересах Потребителя договоры с сетевыми организациями на оказание услуг по передаче электрической энергии. Фактическую передачу электрической энергии Потребителю осуществляет сетевая компания. При исполнении договора сетевая организация обязана обеспечить передачу электрической энергии вточке поставки потребителя услуг (потребителя электрической энергии, в интересах которогозаключается договор), качество и параметры которой должны соответствовать техническим регламентам."
